"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Exports","31 491",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Exports","21 193",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Exports","5 976",""
"France","2012M01","Gigawatt-hour","Electrical energy","Exports","6 218",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Exports","1 937",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Exports","609",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Exports","29 238",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Exports","18 967",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Exports","6 305",""
"France","2012M02","Gigawatt-hour","Electrical energy","Exports","2 618",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Exports","1 939",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Exports","546",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Exports","31 042","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Exports","21 142","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Exports","6 670","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Exports","5 456",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Exports","2 014",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Exports","689",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Exports","27 342",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Exports","17 866",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Exports","5 242",""
"France","2012M04","Gigawatt-hour","Electrical energy","Exports","4 487",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Exports","1 519",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Exports","498",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Exports","25 662","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Exports","16 910","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Exports","4 331",""
"France","2012M05","Gigawatt-hour","Electrical energy","Exports","5 101",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Exports","1 537",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Exports","486",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Exports","24 949",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Exports","16 752",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Exports","4 444",""
"France","2012M06","Gigawatt-hour","Electrical energy","Exports","4 332",""
"Austria","2012M06","Gigawatt-hour","Electrical energy","Exports","1 800",""
"Slovenia","2012M06","Gigawatt-hour","Electrical energy","Exports","757",""
"European Union (28 countries)","2012M07","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M07","Gigawatt-hour","Electrical energy","Exports","26 688",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M07","Gigawatt-hour","Electrical energy","Exports","16 906",""
"Germany (until 1990 former territory of the FRG)","2012M07","Gigawatt-hour","Electrical energy","Exports","4 346",""
"France","2012M07","Gigawatt-hour","Electrical energy","Exports","4 217",""
"Austria","2012M07","Gigawatt-hour","Electrical energy","Exports","1 686",""
"Slovenia","2012M07","Gigawatt-hour","Electrical energy","Exports","767",""
"European Union (28 countries)","2012M08","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M08","Gigawatt-hour","Electrical energy","Exports","26 933",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M08","Gigawatt-hour","Electrical energy","Exports","17 613",""
"Germany (until 1990 former territory of the FRG)","2012M08","Gigawatt-hour","Electrical energy","Exports","4 845",""
"France","2012M08","Gigawatt-hour","Electrical energy","Exports","4 579",""
"Austria","2012M08","Gigawatt-hour","Electrical energy","Exports","1 433",""
"Slovenia","2012M08","Gigawatt-hour","Electrical energy","Exports","810",""
"European Union (28 countries)","2012M09","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M09","Gigawatt-hour","Electrical energy","Exports","25 864",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M09","Gigawatt-hour","Electrical energy","Exports","17 983",""
"Germany (until 1990 former territory of the FRG)","2012M09","Gigawatt-hour","Electrical energy","Exports","5 412",""
"France","2012M09","Gigawatt-hour","Electrical energy","Exports","4 712",""
"Austria","2012M09","Gigawatt-hour","Electrical energy","Exports","1 637",""
"Slovenia","2012M09","Gigawatt-hour","Electrical energy","Exports","735",""
"European Union (28 countries)","2012M10","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M10","Gigawatt-hour","Electrical energy","Exports","28 674",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M10","Gigawatt-hour","Electrical energy","Exports","19 630",""
"Germany (until 1990 former territory of the FRG)","2012M10","Gigawatt-hour","Electrical energy","Exports","6 467",""
"France","2012M10","Gigawatt-hour","Electrical energy","Exports","4 467",""
"Austria","2012M10","Gigawatt-hour","Electrical energy","Exports","1 823",""
"Slovenia","2012M10","Gigawatt-hour","Electrical energy","Exports","909",""
"European Union (28 countries)","2012M11","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M11","Gigawatt-hour","Electrical energy","Exports","28 240","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M11","Gigawatt-hour","Electrical energy","Exports","19 607","p"
"Germany (until 1990 former territory of the FRG)","2012M11","Gigawatt-hour","Electrical energy","Exports","6 015","p"
"France","2012M11","Gigawatt-hour","Electrical energy","Exports","5 076",""
"Austria","2012M11","Gigawatt-hour","Electrical energy","Exports","1 764",""
"Slovenia","2012M11","Gigawatt-hour","Electrical energy","Exports","834",""
"European Union (28 countries)","2012M12","Gigawatt-hour","Electrical energy","Exports",":",""
"European Union (27 countries)","2012M12","Gigawatt-hour","Electrical energy","Exports","28 924",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M12","Gigawatt-hour","Electrical energy","Exports","20 363",""
"Germany (until 1990 former territory of the FRG)","2012M12","Gigawatt-hour","Electrical energy","Exports","6 757",""
"France","2012M12","Gigawatt-hour","Electrical energy","Exports","5 178",""
"Austria","2012M12","Gigawatt-hour","Electrical energy","Exports","1 367",""
"Slovenia","2012M12","Gigawatt-hour","Electrical energy","Exports","724",""
"European Union (28 countries)","2013M01","Gigawatt-hour","Electrical energy","Exports","29 434",""
"European Union (27 countries)","2013M01","Gigawatt-hour","Electrical energy","Exports","29 158",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M01","Gigawatt-hour","Electrical energy","Exports","20 344",""
"Germany (until 1990 former territory of the FRG)","2013M01","Gigawatt-hour","Electrical energy","Exports","6 977",""
"France","2013M01","Gigawatt-hour","Electrical energy","Exports","4 528",""
"Austria","2013M01","Gigawatt-hour","Electrical energy","Exports","1 758",""
"Slovenia","2013M01","Gigawatt-hour","Electrical energy","Exports","810",""
"European Union (28 countries)","2013M02","Gigawatt-hour","Electrical energy","Exports","26 746",""
"European Union (27 countries)","2013M02","Gigawatt-hour","Electrical energy","Exports","26 568",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M02","Gigawatt-hour","Electrical energy","Exports","18 437",""
"Germany (until 1990 former territory of the FRG)","2013M02","Gigawatt-hour","Electrical energy","Exports","6 247",""
"France","2013M02","Gigawatt-hour","Electrical energy","Exports","3 738",""
"Austria","2013M02","Gigawatt-hour","Electrical energy","Exports","1 560",""
"Slovenia","2013M02","Gigawatt-hour","Electrical energy","Exports","642",""
"European Union (28 countries)","2013M03","Gigawatt-hour","Electrical energy","Exports","28 608",""
"European Union (27 countries)","2013M03","Gigawatt-hour","Electrical energy","Exports","28 066",""
