"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross inland consumption",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross inland consumption","87",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross inland consumption","1 097",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross inland consumption","-1 741",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross inland consumption","-5 497",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross inland consumption","570",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross inland consumption","20",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross inland consumption",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross inland consumption","-175",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross inland consumption","2 039",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross inland consumption","-3 237",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross inland consumption","548",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross inland consumption","553",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross inland consumption","58",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross inland consumption",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross inland consumption","-41","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross inland consumption","2 061","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Gross inland consumption","-2 505","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Gross inland consumption","-5 020",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Gross inland consumption","521",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Gross inland consumption","31",""
