"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","21 218",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","16 300",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","7 038",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","1 520",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","279",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","0",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","18 656",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","14 452",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","4 499",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","1 084",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","261",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","0",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","16 163","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","11 939","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","4 029","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","940",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","205",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","0",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","17 721",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","14 186",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","3 401",""
"France","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","1 503",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","179",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","0",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","13 838","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","10 548","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","2 900",""
"France","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","933",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","174",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","0",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","13 226",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","10 008",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","2 900",""
"France","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","951",""
"Austria","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","126",""
"Slovenia","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind","0",""
"European Union (28 countries)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Wind",":",""
