"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","30 259",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","19 322",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","2 209",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","6 796",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","3 074",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","171",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","26 762",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","16 090",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","1 889",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","5 222",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","2 616",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","133",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","27 149","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","16 408","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","2 049","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","3 969",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","3 356",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","155",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","29 452",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","18 576",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","2 055",""
"France","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","5 427",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","3 313",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","281",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro","37 032","p"
