"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","298 799",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","207 663",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","49 502",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","59 514",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","6 194",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 289",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","297 399",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","206 820",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","50 942",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","56 581",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","6 140",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 247",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","275 769","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","190 652","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","48 312","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","50 553",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","6 023",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 218",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","249 477",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","171 613",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","42 936",""
"France","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","45 626",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","5 431",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","967",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","241 792","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","167 088","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","41 174",""
"France","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","41 621",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","5 898",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","865",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","237 726",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","166 960",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","40 962",""
"France","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","38 610",""
"Austria","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","6 240",""
"Slovenia","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 309",""
"European Union (28 countries)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","245 039",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","173 153",""
"Germany (until 1990 former territory of the FRG)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","40 903",""
"France","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","39 061",""
"Austria","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","6 130",""
"Slovenia","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 423",""
"European Union (28 countries)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","241 121",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","170 036",""
"Germany (until 1990 former territory of the FRG)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","42 214",""
"France","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","37 553",""
"Austria","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","5 603",""
"Slovenia","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 351",""
"European Union (28 countries)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","239 057",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","167 630",""
"Germany (until 1990 former territory of the FRG)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","42 202",""
"France","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","39 314",""
"Austria","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","5 775",""
"Slovenia","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 400",""
"European Union (28 countries)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
"European Union (27 countries)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","260 421",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","179 084",""
"Germany (until 1990 former territory of the FRG)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","46 589",""
"France","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","44 271",""
"Austria","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","6 151",""
"Slovenia","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Total","1 506",""
"European Union (28 countries)","2012M11","Gigawatt-hour","Electrical energy","Gross electricity generation - Total",":",""
