"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Imports","31 578",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Imports","22 290",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Imports","4 235",""
"France","2012M01","Gigawatt-hour","Electrical energy","Imports","721",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Imports","2 507",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Imports","629",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Imports","29 063",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Imports","21 006",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Imports","3 068",""
"France","2012M02","Gigawatt-hour","Electrical energy","Imports","3 166",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Imports","2 492",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Imports","604",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Imports","31 001","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Imports","23 203","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Imports","4 165","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Imports","436",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Imports","2 535",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Imports","720",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Imports","28 129",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Imports","20 778",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Imports","4 007",""
"France","2012M04","Gigawatt-hour","Electrical energy","Imports","939",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Imports","2 021",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Imports","680",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Imports","28 207","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Imports","20 496","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Imports","4 524",""
"France","2012M05","Gigawatt-hour","Electrical energy","Imports","613",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Imports","1 503",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Imports","798",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Imports","27 032",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Imports","19 800",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Imports","4 192",""
"France","2012M06","Gigawatt-hour","Electrical energy","Imports","633",""
"Austria","2012M06","Gigawatt-hour","Electrical energy","Imports","1 278",""
"Slovenia","2012M06","Gigawatt-hour","Electrical energy","Imports","633",""
"European Union (28 countries)","2012M07","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M07","Gigawatt-hour","Electrical energy","Imports","29 445",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M07","Gigawatt-hour","Electrical energy","Imports","20 666",""
"Germany (until 1990 former territory of the FRG)","2012M07","Gigawatt-hour","Electrical energy","Imports","4 272",""
"France","2012M07","Gigawatt-hour","Electrical energy","Imports","947",""
"Austria","2012M07","Gigawatt-hour","Electrical energy","Imports","1 460",""
"Slovenia","2012M07","Gigawatt-hour","Electrical energy","Imports","562",""
"European Union (28 countries)","2012M08","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M08","Gigawatt-hour","Electrical energy","Imports","28 688",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M08","Gigawatt-hour","Electrical energy","Imports","18 962",""
"Germany (until 1990 former territory of the FRG)","2012M08","Gigawatt-hour","Electrical energy","Imports","3 618",""
"France","2012M08","Gigawatt-hour","Electrical energy","Imports","956",""
"Austria","2012M08","Gigawatt-hour","Electrical energy","Imports","1 646",""
"Slovenia","2012M08","Gigawatt-hour","Electrical energy","Imports","650",""
"European Union (28 countries)","2012M09","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M09","Gigawatt-hour","Electrical energy","Imports","26 796",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M09","Gigawatt-hour","Electrical energy","Imports","18 934",""
"Germany (until 1990 former territory of the FRG)","2012M09","Gigawatt-hour","Electrical energy","Imports","3 457",""
"France","2012M09","Gigawatt-hour","Electrical energy","Imports","611",""
"Austria","2012M09","Gigawatt-hour","Electrical energy","Imports","1 738",""
"Slovenia","2012M09","Gigawatt-hour","Electrical energy","Imports","513",""
"European Union (28 countries)","2012M10","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M10","Gigawatt-hour","Electrical energy","Imports","29 028",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M10","Gigawatt-hour","Electrical energy","Imports","21 575",""
"Germany (until 1990 former territory of the FRG)","2012M10","Gigawatt-hour","Electrical energy","Imports","3 834",""
"France","2012M10","Gigawatt-hour","Electrical energy","Imports","796",""
"Austria","2012M10","Gigawatt-hour","Electrical energy","Imports","1 910",""
"Slovenia","2012M10","Gigawatt-hour","Electrical energy","Imports","617",""
"European Union (28 countries)","2012M11","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M11","Gigawatt-hour","Electrical energy","Imports","28 155","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M11","Gigawatt-hour","Electrical energy","Imports","20 875","p"
"Germany (until 1990 former territory of the FRG)","2012M11","Gigawatt-hour","Electrical energy","Imports","3 527","p"
"France","2012M11","Gigawatt-hour","Electrical energy","Imports","664",""
"Austria","2012M11","Gigawatt-hour","Electrical energy","Imports","1 925",""
"Slovenia","2012M11","Gigawatt-hour","Electrical energy","Imports","498",""
"European Union (28 countries)","2012M12","Gigawatt-hour","Electrical energy","Imports",":",""
"European Union (27 countries)","2012M12","Gigawatt-hour","Electrical energy","Imports","28 590",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M12","Gigawatt-hour","Electrical energy","Imports","21 103",""
"Germany (until 1990 former territory of the FRG)","2012M12","Gigawatt-hour","Electrical energy","Imports","3 373",""
"France","2012M12","Gigawatt-hour","Electrical energy","Imports","711",""
"Austria","2012M12","Gigawatt-hour","Electrical energy","Imports","2 232",""
"Slovenia","2012M12","Gigawatt-hour","Electrical energy","Imports","551",""
"European Union (28 countries)","2013M01","Gigawatt-hour","Electrical energy","Imports","30 058",""
"European Union (27 countries)","2013M01","Gigawatt-hour","Electrical energy","Imports","29 513",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M01","Gigawatt-hour","Electrical energy","Imports","22 296",""
"Germany (until 1990 former territory of the FRG)","2013M01","Gigawatt-hour","Electrical energy","Imports","3 510",""
"France","2013M01","Gigawatt-hour","Electrical energy","Imports","972",""
"Austria","2013M01","Gigawatt-hour","Electrical energy","Imports","2 386",""
"Slovenia","2013M01","Gigawatt-hour","Electrical energy","Imports","766",""
"European Union (28 countries)","2013M02","Gigawatt-hour","Electrical energy","Imports","27 206",""
"European Union (27 countries)","2013M02","Gigawatt-hour","Electrical energy","Imports","26 728",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M02","Gigawatt-hour","Electrical energy","Imports","20 315",""
"Germany (until 1990 former territory of the FRG)","2013M02","Gigawatt-hour","Electrical energy","Imports","3 020",""
"France","2013M02","Gigawatt-hour","Electrical energy","Imports","1 546",""
"Austria","2013M02","Gigawatt-hour","Electrical energy","Imports","2 204",""
"Slovenia","2013M02","Gigawatt-hour","Electrical energy","Imports","679",""
"European Union (28 countries)","2013M03","Gigawatt-hour","Electrical energy","Imports","28 140",""
"European Union (27 countries)","2013M03","Gigawatt-hour","Electrical energy","Imports","27 653",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2013M03","Gigawatt-hour","Electrical energy","Imports","20 590",""
"Germany (until 1990 former territory of the FRG)","2013M03","Gigawatt-hour","Electrical energy","Imports","2 739",""
"France","2013M03","Gigawatt-hour","Electrical energy","Imports","1 573",""
"Austria","2013M03","Gigawatt-hour","Electrical energy","Imports","2 609",""
