"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 606",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 114",""
"Germany (until 1990 former territory of the FRG)","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","646",""
"France","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","374",""
"Austria","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","286",""
"Slovenia","2012M01","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2",""
"European Union (28 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 490",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","1 999",""
"Germany (until 1990 former territory of the FRG)","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","568",""
"France","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","419",""
"Austria","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","230",""
"Slovenia","2012M02","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","0",""
"European Union (28 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 544","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 057","p"
"Germany (until 1990 former territory of the FRG)","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","551","p"
"France","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","358",""
"Austria","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","349",""
"Slovenia","2012M03","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","0",""
"European Union (28 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 590",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 192",""
"Germany (until 1990 former territory of the FRG)","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","533",""
"France","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","405",""
"Austria","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","343",""
"Slovenia","2012M04","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","9",""
"European Union (28 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 579","p"
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 191","p"
"Germany (until 1990 former territory of the FRG)","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","554",""
"France","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","530",""
"Austria","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","330",""
"Slovenia","2012M05","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","24",""
"European Union (28 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 352",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","1 992",""
"Germany (until 1990 former territory of the FRG)","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","476",""
"France","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","539",""
"Austria","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","278",""
"Slovenia","2012M06","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","23",""
"European Union (28 countries)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 482",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 104",""
"Germany (until 1990 former territory of the FRG)","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","509",""
"France","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","491",""
"Austria","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","300",""
"Slovenia","2012M07","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","23",""
"European Union (28 countries)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 396",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","1 955",""
"Germany (until 1990 former territory of the FRG)","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","499",""
"France","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","337",""
"Austria","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","293",""
"Slovenia","2012M08","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","24",""
"European Union (28 countries)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 424",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 008",""
"Germany (until 1990 former territory of the FRG)","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","525",""
"France","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","340",""
"Austria","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","349",""
"Slovenia","2012M09","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","18",""
"European Union (28 countries)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)",":",""
"European Union (27 countries)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 483",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","2 047",""
"Germany (until 1990 former territory of the FRG)","2012M10","Gigawatt-hour","Electrical energy","Gross electricity generation - Hydro (of which from pumped storage)","583",""
